motion;docdate
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1903/mot-1903--ak--00055.xml;Stockholm den 26 januari 1903.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1903/mot-1903--ak--00064.xml;Stockholm den 27 januari 1903.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1903/mot-1903--ak--00101.xml;Stockholm den 26 januari 1903.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1904/mot-1904--ak--00145.xml;Stockholm den 27 januari 1904.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1904/mot-1904--ak--00151.xml;Stockholm den 28 januari 1904.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1904/mot-1904--fk--00022.xml;Stockholm den 26 januari 1904. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1905/mot-1905--ak--00114.xml;Stockholm den 28 januari 1905.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1905/mot-1905--ak--00146.xml;Stockholm den 28 januari 1905.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1905/mot-1905-urtima-fk--00004.xml;Stockholm den 27 juni 1905.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1906/mot-1906--ak--00067.xml;Stockholm den 22 januari 1906. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1906/mot-1906--ak--00167.xml;Stockholm den 14 maj 1906.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1906/mot-1906--fk--00039.xml;Stockholm den 28 mars 1906.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1907/mot-1907--ak--00018.xml;Stockholm den 20 januari 1907.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1907/mot-1907--ak--00283.xml;Stockholm den 6 maj 1907.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1907/mot-1907--fk--00040.xml;Stockholm den 16 februari 1907.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1908/mot-1908--ak--00032.xml;Stockholm den 24 januari 1908.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1908/mot-1908--ak--00087.xml;Stockholm den 21 januari 1908.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1908/mot-1908--ak--00328.xml;Stockholm den 5 maj 1908.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1909/mot-1909--ak--00064.xml;Stockholm den 26 januari 1909
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1909/mot-1909--ak--00065.xml;Stockholm den 25 januari 1909. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1909/mot-1909--ak--00262.xml;Stockholm den 24 april 1909.
