file,parliament_year,chamber,n_lines,n_cols
https://pdf.swedeb.se/riksdagen-motions-pdf/1887/mot_1887_janmar_fk__00013/mot_1887_janmar_fk__00013_012.pdf,1887,fk,33,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1887/mot_1887_janmar_fk__00009/mot_1887_janmar_fk__00009_005.pdf,1887,fk,38,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1888/mot_1888__ak__00085/mot_1888__ak__00085_002.pdf,1888,ak,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1888/mot_1888__ak__00181/mot_1888__ak__00181_001.pdf,1888,ak,29,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1888/mot_1888__ak__00098/mot_1888__ak__00098_001.pdf,1888,ak,24,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1888/mot_1888__fk__00073/mot_1888__fk__00073_004.pdf,1888,fk,37,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1888/mot_1888__fk__00047/mot_1888__fk__00047_001.pdf,1888,fk,28,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1888/mot_1888__fk__00037/mot_1888__fk__00037_006.pdf,1888,fk,25,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1889/mot_1889__ak__00087/mot_1889__ak__00087_004.pdf,1889,ak,22,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1889/mot_1889__ak__00036/mot_1889__ak__00036_001.pdf,1889,ak,20,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1889/mot_1889__ak__00070/mot_1889__ak__00070_001.pdf,1889,ak,27,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1889/mot_1889__fk__00035/mot_1889__fk__00035_001.pdf,1889,fk,23,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1889/mot_1889__fk__00013/mot_1889__fk__00013_002.pdf,1889,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1889/mot_1889__fk__00055/mot_1889__fk__00055_008.pdf,1889,fk,35,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1890/mot_1890__ak__00042/mot_1890__ak__00042_002.pdf,1890,ak,37,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1890/mot_1890__ak__00096/mot_1890__ak__00096_002.pdf,1890,ak,37,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1890/mot_1890__ak__00001/mot_1890__ak__00001_006.pdf,1890,ak,26,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1890/mot_1890__fk__00001/mot_1890__fk__00001_011.pdf,1890,fk,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1890/mot_1890__fk__00019/mot_1890__fk__00019_010.pdf,1890,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1890/mot_1890__fk__00019/mot_1890__fk__00019_001.pdf,1890,fk,26,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1891/mot_1891__ak__00072/mot_1891__ak__00072_003.pdf,1891,ak,9,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1891/mot_1891__ak__00161/mot_1891__ak__00161_002.pdf,1891,ak,37,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1891/mot_1891__ak__00026/mot_1891__ak__00026_002.pdf,1891,ak,34,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1891/mot_1891__fk__00029/mot_1891__fk__00029_002.pdf,1891,fk,21,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1891/mot_1891__fk__00031/mot_1891__fk__00031_001.pdf,1891,fk,17,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1891/mot_1891__fk__00044/mot_1891__fk__00044_001.pdf,1891,fk,24,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1892/mot_1892_urtima_ak__00019/mot_1892_urtima_ak__00019_044.pdf,1892,ak,12,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1892/mot_1892__ak__00060/mot_1892__ak__00060_001.pdf,1892,ak,16,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1892/mot_1892__ak__00119/mot_1892__ak__00119_004.pdf,1892,ak,27,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1892/mot_1892__fk__00030/mot_1892__fk__00030_002.pdf,1892,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1892/mot_1892__fk__00004/mot_1892__fk__00004_106.pdf,1892,fk,18,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1892/mot_1892__fk__00035/mot_1892__fk__00035_002.pdf,1892,fk,31,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1893/mot_1893__ak__00126/mot_1893__ak__00126_003.pdf,1893,ak,32,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1893/mot_1893__ak__00105/mot_1893__ak__00105_003.pdf,1893,ak,37,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1893/mot_1893__ak__00212/mot_1893__ak__00212_003.pdf,1893,ak,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1893/mot_1893__fk__00025/mot_1893__fk__00025_002.pdf,1893,fk,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1893/mot_1893__fk__00025/mot_1893__fk__00025_005.pdf,1893,fk,41,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1893/mot_1893__fk__00020/mot_1893__fk__00020_006.pdf,1893,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1894/mot_1894__ak__00166/mot_1894__ak__00166_003.pdf,1894,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1894/mot_1894__ak__00160/mot_1894__ak__00160_002.pdf,1894,ak,38,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1894/mot_1894__ak__00147/mot_1894__ak__00147_002.pdf,1894,ak,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1894/mot_1894__fk__00021/mot_1894__fk__00021_002.pdf,1894,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1894/mot_1894__fk__00005/mot_1894__fk__00005_037.pdf,1894,fk,16,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1894/mot_1894__fk__00005/mot_1894__fk__00005_022.pdf,1894,fk,45,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1895/mot_1895__ak__00088/mot_1895__ak__00088_002.pdf,1895,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1895/mot_1895__ak__00134/mot_1895__ak__00134_002.pdf,1895,ak,28,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1895/mot_1895__ak__00096/mot_1895__ak__00096_006.pdf,1895,ak,29,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1895/mot_1895__fk__00001/mot_1895__fk__00001_061.pdf,1895,fk,37,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1895/mot_1895__fk__00001/mot_1895__fk__00001_052.pdf,1895,fk,35,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1895/mot_1895__fk__00050/mot_1895__fk__00050_003.pdf,1895,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1896/mot_1896__ak__00102/mot_1896__ak__00102_002.pdf,1896,ak,19,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1896/mot_1896__ak__00084/mot_1896__ak__00084_004.pdf,1896,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1896/mot_1896__ak__00087/mot_1896__ak__00087_002.pdf,1896,ak,14,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1896/mot_1896__fk__00042/mot_1896__fk__00042_003.pdf,1896,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1896/mot_1896__fk__00053/mot_1896__fk__00053_003.pdf,1896,fk,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1896/mot_1896__fk__reg/mot_1896__fk__reg_003.pdf,1896,fk,24,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1897/mot_1897__ak__00097/mot_1897__ak__00097_003.pdf,1897,ak,23,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1897/mot_1897__ak__00012/mot_1897__ak__00012_016.pdf,1897,ak,35,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1897/mot_1897__ak__00154/mot_1897__ak__00154_048.pdf,1897,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1897/mot_1897__fk__00036/mot_1897__fk__00036_001.pdf,1897,fk,23,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1897/mot_1897__fk__00003/mot_1897__fk__00003_018.pdf,1897,fk,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1897/mot_1897__fk__00011/mot_1897__fk__00011_005.pdf,1897,fk,22,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1898/mot_1898__ak__00144/mot_1898__ak__00144_002.pdf,1898,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1898/mot_1898__ak__00084/mot_1898__ak__00084_003.pdf,1898,ak,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1898/mot_1898__ak__00084/mot_1898__ak__00084_002.pdf,1898,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1898/mot_1898__fk__00004/mot_1898__fk__00004_002.pdf,1898,fk,22,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1898/mot_1898__fk__00038/mot_1898__fk__00038_001.pdf,1898,fk,22,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1898/mot_1898__fk__00010/mot_1898__fk__00010_004.pdf,1898,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1899/mot_1899__ak__00223/mot_1899__ak__00223_002.pdf,1899,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1899/mot_1899__ak__00033/mot_1899__ak__00033_002.pdf,1899,ak,38,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1899/mot_1899__ak__00116/mot_1899__ak__00116_002.pdf,1899,ak,38,1
